Region,Promote,Sales
1,77,85
2,110,103
3,110,102
4,93,109
5,90,85
6,95,103
7,100,110
8,85,86
9,96,92
10,83,87
11,88,99
12,94,101
13,104,109
14,89,81
15,95,107
16,94,95
17,96,109
18,92,113
19,93,84
20,98,98
21,103,112
22,95,96
23,103,93
24,89,97
25,97,92
26,97,105
27,99,102
28,101,105
29,113,118
30,86,82
31,100,101
32,96,97
33,105,101
34,101,104
35,89,91
36,90,99
37,102,112
38,106,104
39,116,111
40,117,119
41,100,94
42,96,81
43,88,92
44,109,108
45,109,103
46,116,113
47,98,104
48,100,98
49,95,108
50,96,87
